 gmid0.5         gain0.5        
 4.69060688e-01  9.90487875e-01 
 4.64733456e-01  9.76238929e-01 
 4.60448650e-01  9.62247161e-01 
 4.56205707e-01  9.48506529e-01 
 gmid1.5         gain1.5        
 2.50370802e+01  2.15610004e+02 
 2.54220921e+01  2.32989056e+02 
 2.57401482e+01  2.48336843e+02 
 2.60039860e+01  2.61536111e+02 
 2.62243200e+01  2.72629111e+02 
 2.64099818e+01  2.81771080e+02 
 2.65681424e+01  2.89182804e+02 
 2.67045550e+01  2.95111152e+02 
 2.68237958e+01  2.99800955e+02 
 2.69294796e+01  3.03477808e+02 
 2.70244462e+01  3.06339521e+02 
 2.71109178e+01  3.08553538e+02 
 2.71906281e+01  3.10257995e+02 
 2.72649264e+01  3.11564687e+02 
 2.73348614e+01  3.12562786e+02 
 2.74012469e+01  3.13322639e+02 
 2.74647144e+01  3.13899265e+02 
 2.75257534e+01  3.14335411e+02 
 2.75847439e+01  3.14664111e+02 
 2.76419804e+01  3.14910775e+02 
 2.76976914e+01  3.15094878e+02 
 2.77520537e+01  3.15231281e+02 
 2.78052040e+01  3.15331281e+02 
 2.78572467e+01  3.15403412e+02 
 2.79082606e+01  3.15454071e+02 
 2.79583029e+01  3.15487985e+02 
 2.80074119e+01  3.15508560e+02 
 2.80556090e+01  3.15518142e+02 
 2.81028982e+01  3.15518188e+02 
 2.81492653e+01  3.15509375e+02 
 2.81946752e+01  3.15491648e+02 
 2.82390677e+01  3.15464212e+02 
 2.82823510e+01  3.15425464e+02 
 2.83243930e+01  3.15372858e+02 
 2.83650089e+01  3.15302702e+02 
 2.84039444e+01  3.15209856e+02 
 2.84408539e+01  3.15087329e+02 
 2.84752702e+01  3.14925733e+02 
 2.85065647e+01  3.14712568e+02 
 2.85338957e+01  3.14431309e+02 
 2.85561387e+01  3.14060255e+02 
 2.85717974e+01  3.13571120e+02 
 2.85788874e+01  3.12927390e+02 
 2.85747907e+01  3.12082498e+02 
 2.85560743e+01  3.10978038e+02 
 2.85182762e+01  3.09542359e+02 
 2.84556656e+01  3.07690190e+02 
 2.83610058e+01  3.05324218e+02 
 2.82253732e+01  3.02339793e+02 
 2.80381307e+01  2.98633908e+02 
 2.77871977e+01  2.94118965e+02 
 2.74597911e+01  2.88740329e+02 
 2.70437713e+01  2.82494481e+02 
 2.65295715e+01  2.75442485e+02 
 2.59124028e+01  2.67713125e+02 
 2.51941273e+01  2.59492495e+02 
 2.43840911e+01  2.51001535e+02 
 2.34984677e+01  2.42467569e+02 
 2.25582184e+01  2.34097672e+02 
 2.15862930e+01  2.26059942e+02 
 2.06048873e+01  2.18474977e+02 
 1.96333861e+01  2.11416373e+02 
 1.86872398e+01  2.04917181e+02 
 1.77776932e+01  1.98979042e+02 
 1.69121080e+01  1.93581543e+02 
 1.60945992e+01  1.88690362e+02 
 1.53267657e+01  1.84263645e+02 
 1.46083799e+01  1.80256610e+02 
 1.39379699e+01  1.76624624e+02 
 1.33132769e+01  1.73325115e+02 
 1.27315959e+01  1.70318629e+02 
 1.21900170e+01  1.67569316e+02 
 1.16855904e+01  1.65045042e+02 
 1.12154337e+01  1.62717279e+02 
 1.07767972e+01  1.60560866e+02 
 1.03671012e+01  1.58553708e+02 
 9.98395305e+00  1.56676462e+02 
 9.62515090e+00  1.54912221e+02 
 9.28868032e+00  1.53246219e+02 
 8.97270508e+00  1.51665564e+02 
 8.67555572e+00  1.50158994e+02 
 8.39571664e+00  1.48716665e+02 
 8.13181307e+00  1.47329961e+02 
 7.88259822e+00  1.45991329e+02 
 7.64694116e+00  1.44694138e+02 
 7.42381552e+00  1.43432554e+02 
 7.21228905e+00  1.42201433e+02 
 7.01151421e+00  1.40996223e+02 
 6.82071958e+00  1.39812889e+02 
 6.63920219e+00  1.38647836e+02 
 6.46632062e+00  1.37497852e+02 
 6.30148879e+00  1.36360053e+02 
